tree,day,female,male
207,2910,1.0,0.0
207,2925,1.0,0.0
207,2940,1.0,0.0
207,2954,2.0,0.0
207,2981,1.0,0.0
207,2992,2.0,0.0
207,3008,2.0,0.0
207,3023,1.0,0.0
207,3038,1.0,0.0
207,3051,0.0,1.0
207,3066,0.0,1.0
207,3079,0.0,1.0
207,3107,0.0,1.0
207,3121,0.0,1.0
207,3134,0.0,1.0
208,348,1.0,0.0
208,405,2.0,2.0
208,420,1.0,0.0
208,434,3.0,0.0
208,448,1.0,0.0
208,463,4.0,0.0
208,489,2.0,0.0
208,503,1.0,0.0
208,514,1.0,0.0
208,531,3.0,0.0
208,560,1.0,0.0
208,588,0.0,2.0
208,776,2.0,0.0
208,790,2.0,0.0
208,803,2.0,0.0
208,818,2.0,1.0
208,821,0.0,1.0
208,831,1.0,0.0
208,846,1.0,0.0
208,859,0.0,1.0
208,871,0.0,1.0
208,888,0.0,2.0
208,930,0.0,2.0
208,945,0.0,2.0
208,959,1.0,0.0
208,973,1.0,0.0
208,986,1.0,0.0
208,1000,1.0,0.0
208,1027,1.0,0.0
208,1071,2.0,0.0
208,1085,2.0,0.0
208,1098,0.0,1.0
208,1112,0.0,1.0
208,1126,0.0,1.0
208,1141,1.0,1.0
208,1169,1.0,0.0
208,1183,0.0,1.0
208,1200,0.0,1.0
208,1212,0.0,1.0
208,1224,0.0,1.0
208,1294,1.0,3.0
208,1309,0.0,1.0
208,1322,2.0,0.0
208,1365,1.0,0.0
208,1378,3.0,0.0
208,1393,2.0,0.0
208,1407,2.0,0.0
208,1420,1.0,0.0
208,1433,1.0,0.0
208,1448,1.0,0.0
208,1476,0.0,1.0
208,1489,0.0,1.0
208,1503,0.0,1.0
208,1517,0.0,1.0
208,1531,0.0,1.0
208,1546,0.0,1.0
208,1560,0.0,1.0
208,1574,0.0,1.0
208,1590,0.0,1.0
208,1602,1.0,1.0
208,1615,1.0,0.0
208,1644,1.0,0.0
208,1673,1.0,0.0
208,1686,1.0,0.0
208,1700,1.0,0.0
208,1714,0.0,1.0
208,1728,0.0,2.0
208,1743,0.0,1.0
208,1756,0.0,1.0
208,1770,0.0,1.0
208,1785,0.0,1.0
208,1798,1.0,0.0
208,1812,1.0,0.0
208,1827,1.0,0.0
208,1868,0.0,1.0
208,1883,0.0,1.0
208,1897,1.0,1.0
208,1910,1.0,0.0
208,1924,0.0,1.0
208,1945,1.0,0.0
208,1959,1.0,0.0
208,1973,1.0,0.0
208,1987,1.0,0.0
208,2001,1.0,0.0
208,2016,0.0,1.0
208,2029,0.0,1.0
208,2042,0.0,1.0
208,2056,0.0,1.0
208,2183,0.0,1.0
208,2198,0.0,1.0
208,2239,0.0,1.0
208,2254,1.0,0.0
208,2266,2.0,0.0
208,2281,1.0,1.0
208,2297,0.0,1.0
208,2309,0.0,1.0
208,2323,0.0,1.0
208,2337,0.0,3.0
208,2352,1.0,1.0
208,2380,2.0,0.0
208,2393,0.0,1.0
208,2406,1.0,0.0
208,2418,1.0,0.0
208,2464,0.0,1.0
208,2477,0.0,1.0
208,2490,0.0,1.0
208,2505,0.0,1.0
208,2533,0.0,1.0
208,2546,1.0,0.0
208,2561,1.0,0.0
208,2574,0.0,1.0
208,2589,0.0,1.0
208,2603,1.0,0.0
208,2618,1.0,0.0
208,2630,0.0,1.0
208,2642,0.0,1.0
208,2662,1.0,1.0
208,2687,0.0,1.0
208,2701,0.0,1.0
208,2716,0.0,1.0
208,2729,0.0,1.0
208,2757,0.0,1.0
208,2771,0.0,1.0
208,2786,0.0,1.0
208,2799,1.0,1.0
208,2827,0.0,1.0
208,2856,0.0,1.0
208,2869,1.0,1.0
208,2883,1.0,0.0
208,2897,1.0,0.0
208,2925,2.0,0.0
208,2940,2.0,0.0
208,2954,0.0,1.0
208,2967,0.0,1.0
208,2981,0.0,1.0
208,2992,1.0,0.0
208,3023,0.0,1.0
208,3038,0.0,1.0
208,3051,0.0,1.0
208,3066,0.0,1.0
208,3079,0.0,1.0
208,3093,0.0,1.0
208,3134,0.0,1.0
209,364,1.0,0.0
209,377,2.0,0.0
209,391,1.0,0.0
209,405,1.0,0.0
209,420,1.0,0.0
209,434,4.0,0.0
209,463,3.0,0.0
209,489,2.0,0.0
209,503,2.0,0.0
209,514,1.0,0.0
209,531,1.0,0.0
209,545,1.0,0.0
209,574,1.0,0.0
209,588,1.0,0.0
209,763,0.0,2.0
209,776,1.0,0.0
209,790,2.0,0.0
209,803,1.0,0.0
209,818,2.0,0.0
209,831,2.0,0.0
209,846,1.0,0.0
209,859,2.0,0.0
209,871,1.0,0.0
209,888,1.0,1.0
209,902,0.0,1.0
209,916,0.0,1.0
209,930,1.0,0.0
209,945,0.0,1.0
209,959,0.0,1.0
209,973,0.0,1.0
209,986,0.0,1.0
209,1000,0.0,1.0
209,1013,1.0,0.0
209,1027,1.0,0.0
209,1042,1.0,0.0
209,1056,1.0,0.0
209,1071,1.0,0.0
209,1085,1.0,0.0
209,1098,1.0,0.0
209,1112,1.0,0.0
209,1126,1.0,0.0
209,1141,1.0,0.0
209,1154,1.0,0.0
209,1183,3.0,1.0
209,1212,1.0,0.0
209,1224,2.0,0.0
209,1240,0.0,1.0
209,1252,1.0,0.0
209,1267,0.0,1.0
209,1294,1.0,0.0
209,1309,1.0,0.0
209,1322,1.0,0.0
209,1351,1.0,0.0
209,1365,1.0,0.0
209,1378,1.0,0.0
209,1393,1.0,0.0
209,1407,2.0,0.0
209,1420,1.0,0.0
209,1433,1.0,0.0
209,1448,1.0,0.0
209,1461,1.0,0.0
209,1476,1.0,0.0
209,1489,1.0,0.0
209,1503,1.0,0.0
209,1517,1.0,0.0
209,1531,1.0,0.0
209,1546,1.0,0.0
209,1560,2.0,0.0
209,1574,1.0,0.0
209,1602,1.0,0.0
209,1615,2.0,0.0
209,1629,1.0,0.0
209,1658,1.0,0.0
209,1686,1.0,0.0
209,1700,1.0,0.0
209,1728,2.0,0.0
209,1770,1.0,0.0
209,1827,1.0,0.0
209,1840,0.0,2.0
209,1854,1.0,1.0
209,1868,1.0,0.0
209,1883,1.0,0.0
209,1897,1.0,0.0
209,1910,1.0,0.0
209,1924,2.0,0.0
209,1945,1.0,0.0
209,1959,1.0,1.0
209,1973,0.0,1.0
209,1987,2.0,0.0
209,2016,1.0,0.0
209,2029,1.0,0.0
209,2056,1.0,0.0
209,2085,1.0,0.0
209,2225,2.0,0.0
209,2239,1.0,0.0
209,2254,2.0,0.0
209,2266,0.0,1.0
209,2281,1.0,0.0
209,2309,1.0,1.0
209,2323,0.0,2.0
209,2337,0.0,1.0
209,2352,0.0,2.0
209,2367,0.0,1.0
209,2380,0.0,1.0
209,2393,0.0,1.0
209,2406,0.0,1.0
209,2418,1.0,0.0
209,2449,1.0,0.0
209,2464,1.0,0.0
209,2477,1.0,0.0
209,2490,1.0,0.0
209,2505,1.0,0.0
209,2519,1.0,0.0
209,2533,1.0,0.0
209,2546,1.0,0.0
209,2561,1.0,0.0
209,2574,1.0,0.0
209,2589,1.0,0.0
209,2603,1.0,0.0
209,2618,1.0,0.0
209,2630,1.0,0.0
209,2642,0.0,1.0
209,2662,0.0,1.0
209,2675,0.0,1.0
209,2687,0.0,2.0
209,2729,0.0,1.0
209,2744,0.0,1.0
209,2799,0.0,1.0
209,2812,2.0,1.0
209,2827,1.0,0.0
209,2842,1.0,0.0
209,2856,1.0,0.0
209,2869,1.0,0.0
209,2883,1.0,0.0
209,2897,2.0,0.0
209,2925,2.0,0.0
209,2954,1.0,0.0
209,2967,1.0,0.0
209,2981,1.0,1.0
209,2992,0.0,1.0
